,Row,Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Valuation,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,# Sharks,$ per shark,Details / Notes
388,389.0,6.0,3.0,Heart Pup,Yes,Pet Products,Female,50000,40%,125000,,,,,1.0,,,,1.0,50000,
389,390.0,6.0,3.0,SoapSox,No,Children / Education,Male,,,,,,,,,,,,0.0,,
390,391.0,6.0,3.0,Ninja Cards,No,Children / Education,Male,,,,,,,,,,,,0.0,,
391,392.0,6.0,3.0,DrumPants,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,,0.0,,
392,393.0,6.0,4.0,Paper Box Pilots,Yes,Children / Education,Male,35000,50%,70000,,,,1.0,,,,,1.0,35000,
393,394.0,6.0,4.0,Reviver,Yes,Lifestyle / Home,Male,150000,15%,1000000,,,1.0,,,,,,1.0,150000,
394,395.0,6.0,4.0,FunCakes Rental,No,Food and Beverage,Female,,,,,,,,,,,,0.0,,
395,396.0,6.0,4.0,Table Jacks,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
396,397.0,6.0,5.0,The Red Dress Boutique,Yes,Fashion / Beauty,Mixed Team,1200000,20%,6000000,,1.0,,1.0,,,,,2.0,600000,
397,398.0,6.0,5.0,SunStaches,Yes,Fashion / Beauty,Male,300000,20%,1500000,,,,,1.0,,,,1.0,300000,
398,399.0,6.0,5.0,Jungle JumpaRoo,No,Children / Education,Mixed Team,,,,,,,,,,,,0.0,,
399,400.0,6.0,5.0,The Caddy Girls,No,Fitness / Sports,Female,,,,,,,,,,,,0.0,,
400,401.0,6.0,6.0,Honeyfund,Yes,Software / Tech,Mixed Team,400000,,,,,,,,1.0,,,1.0,400000,three times return from the transaction revenue
401,402.0,6.0,6.0,BeatBox Beverages,Yes,Food and Beverage,Mixed Team,1000000,33%,3030303,,1.0,,,,,,,1.0,1000000,
402,403.0,6.0,6.0,Oilerie USA,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
403,404.0,6.0,6.0,EmergenSee,No,Software / Tech,Male,,,,,,,,,,,,0.0,,
404,405.0,6.0,7.0,Myself Belts,Yes,Children / Education,Female,75000,25%,300000,,,,,1.0,,,,1.0,75000,
405,406.0,6.0,7.0,Titin,Yes,Fitness / Sports,Male,500000,20%,2500000,,,,,1.0,,,,1.0,500000,
406,407.0,6.0,7.0,SingTrix,No,Children / Education,Male,,,,,,,,,,,,0.0,,
407,408.0,6.0,7.0,Beardbrand,No,Fashion / Beauty,Male,,,,,,,,,,,,0.0,,
408,409.0,6.0,8.0,The Natural Grip,Yes,Fitness / Sports,Female,125000,25%,500000,,,,1.0,,,,,1.0,125000,
409,410.0,6.0,8.0,Bottle Breacher,Yes,Food and Beverage,Male,150000,20%,750000,,1.0,,,,1.0,,,2.0,75000,
410,411.0,6.0,8.0,Man-Pack,No,Fashion / Beauty,Male,,,,,,,,,,,,0.0,,
411,412.0,6.0,8.0,Priority One Canine,No,Pet Products,Mixed Team,,,,,,,,,,,,0.0,,
412,413.0,6.0,9.0,Heidi Ho,Yes,Food and Beverage,Female,125000,30%,416667,,,1.0,,,,,,1.0,125000,
413,414.0,6.0,9.0,Squatty Potty,Yes,Lifestyle / Home,Mixed Team,350000,10%,3500000,,,1.0,,,,,,1.0,350000,
414,415.0,6.0,9.0,Pipsnacks,Yes,Food and Beverage,Mixed Team,200000,10%,2000000,1.0,,,,,,,,1.0,200000,plus a 10% draw whenever founders take cash out until she recoups her investment
415,416.0,6.0,9.0,Storm Stoppers,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
416,417.0,6.0,10.0,MagicCook,Yes,Food and Beverage,Female,100000,33%,303030,,,,,1.0,,,,1.0,100000,
417,418.0,6.0,10.0,Earth Log,Yes,Lifestyle / Home,Male,160000,30%,533333,,,1.0,,,,,,1.0,160000,
418,419.0,6.0,10.0,Kitchen Safe,Yes,Food and Beverage,Male,100000,20%,500000,,,1.0,,,,,1.0,2.0,50000,
419,420.0,6.0,10.0,Off the Cob,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
420,421.0,6.0,11.0,Biaggi,Yes,Lifestyle / Home,Male,500000,33%,1515152,,,1.0,,,,,,1.0,500000,
421,422.0,6.0,11.0,Gameday Couture,Yes,Fashion / Beauty,Mixed Team,500000,30%,1666667,,1.0,,,,,,,1.0,500000,
422,423.0,6.0,11.0,Zipz,Yes,Food and Beverage,Male,2500000,10%,25000000,,,,,,1.0,,,1.0,2500000,with an option for another $2.5 Million for an additional 10%
423,424.0,6.0,11.0,Soaps Washes and Grooming Essentials (aka S.W.A.G. Essentials),No,Fashion / Beauty,Female,,,,,,,,,,,,0.0,,
424,425.0,6.0,12.0,Hoppy Paws,Yes,Lifestyle / Home,Female,100000,49%,204082,1.0,,,,,,,,1.0,100000,
425,426.0,6.0,12.0,Q-Flex,Yes,Healthcare,Female,25000,25%,100000,1.0,1.0,,,,,,,2.0,12500,
426,427.0,6.0,12.0,The Mensch on a Bench,Yes,Lifestyle / Home,Male,150000,15%,1000000,,,1.0,1.0,,,,,2.0,75000,
427,428.0,6.0,12.0,Eve Drop,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
428,429.0,6.0,13.0,Bantam Bagels,Yes,Food and Beverage,Mixed Team,275000,25%,1100000,,,1.0,,,,,,1.0,275000,
429,430.0,6.0,13.0,Doorman,Yes,Lifestyle / Home,Male,250000,12%,2083333,,,,1.0,,,,,1.0,250000,
430,431.0,6.0,13.0,SkinnyShirt,No,Fashion / Beauty,Female,,,,,,,,,,,,0.0,,
431,432.0,6.0,13.0,Coffee Meets Bagel,No,Software / Tech,Female,,,,,,,,,,,,0.0,,
432,433.0,6.0,14.0,Evrewares,Yes,Fashion / Beauty,Female,200000,100%,200000,,1.0,,,,,,,1.0,200000,
433,434.0,6.0,14.0,Bottle Bright,Yes,Lifestyle / Home,Male,75000,33%,227273,,,1.0,,,,,,1.0,75000,
434,435.0,6.0,14.0,Scratch & Grain Baking Co,Yes,Food and Beverage,Female,150000,20%,750000,1.0,,,,,,,,1.0,150000,Done as a line of credit
435,436.0,6.0,14.0,Vestpakz,No,Children / Education,Male,,,,,,,,,,,,0.0,,
436,437.0,6.0,15.0,TurboPUP,Yes,Pet Products,Mixed Team,100000,35%,285714,,,,,1.0,,,,1.0,100000,
437,438.0,6.0,15.0,Lumio,Yes,Lifestyle / Home,Male,350000,10%,3500000,,,,1.0,,,,,1.0,350000,
438,439.0,6.0,15.0,Bello Verde,No,Fashion / Beauty,Male,,,,,,,,,,,,0.0,,
439,440.0,6.0,15.0,Napwell,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
440,441.0,6.0,16.0,GreenBox,Yes,Food and Beverage,Mixed Team,300000,10%,3000000,,,,,,1.0,,,1.0,300000,
441,442.0,6.0,16.0,Phonesoap,Yes,Software / Tech,Male,300000,10%,3000000,,,1.0,,,,,,1.0,300000,
442,443.0,6.0,16.0,Victoria's Kitchen,No,Food and Beverage,Mixed Team,,,,,,,,,,,,0.0,,
443,444.0,6.0,16.0,Tycoon Real Estate,No,Software / Tech,Mixed Team,,,,,,,,,,,,0.0,,
444,445.0,6.0,17.0,Fresh Patch,Yes,Pet Products,Mixed Team,150000,20%,750000,1.0,1.0,,,,,,,2.0,75000,
445,446.0,6.0,17.0,Drain Strain,Yes,Lifestyle / Home,Male,110000,10%,1100000,,,,1.0,,,,,1.0,110000,
446,447.0,6.0,17.0,Balm Chicky Balm Balm,No,Fashion / Beauty,Female,,,,,,,,,,,,0.0,,
447,448.0,6.0,17.0,BedJet,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
448,449.0,6.0,18.0,BeverageBoy,Yes,Food and Beverage,Male,50000,35%,142857,,,,,1.0,,,,1.0,50000,
449,450.0,6.0,18.0,FunBites,Yes,Children / Education,Female,75000,25%,300000,,,1.0,,,,,,1.0,75000,
