,Row,Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Valuation,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,# Sharks,$ per shark,Details / Notes
16,17.0,1.0,4.0,Gift Card Rescue,Yes,Software / Tech,Male,200000,50%,400000,,,,1.0,,1.0,,,2.0,100000,
17,18.0,1.0,4.0,Coverplay,Yes,Children / Education,Female,35000,40%,87500,1.0,,,,,,,,1.0,35000,
18,19.0,1.0,4.0,Graffiti Removal Services,No,Business Services,Male,,,,,,,,,,,,0.0,,
19,20.0,1.0,4.0,"Souls Calling, Inc.",No,Fashion / Beauty,Female,,,,,,,,,,,,0.0,,
20,21.0,1.0,4.0,Coffee Brand Gifts,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
21,22.0,1.0,5.0,My Therapy Journal,Yes,Healthcare,Male,80000,51%,156863,,,,1.0,,1.0,,,2.0,40000,
22,23.0,1.0,5.0,Body Jac,Yes,Fitness / Sports,Male,180000,50%,360000,1.0,,,,,,1.0,,2.0,90000,contingent on him losing 30 pounds!
23,24.0,1.0,5.0,Good Grief Celebrations,No,Business Services,Female,,,,,,,,,,,,0.0,,
24,25.0,1.0,5.0,Granola Gourmet,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
25,26.0,1.0,5.0,Face Blok,No,Healthcare,Female,,,,,,,,,,,,0.0,,
26,27.0,1.0,6.0,Pork Barrel BBQ Sauce,Yes,Food and Beverage,Male,50000,50%,100000,1.0,,,,,,,,1.0,50000,
27,28.0,1.0,6.0,Element Bars,Yes,Fitness / Sports,Male,150000,30%,500000,,,,,,,1.0,,1.0,150000,"license bars, entrepreneur gets 4% of sales forever"
28,29.0,1.0,6.0,Underease Underwear,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,,0.0,,
29,30.0,1.0,6.0,Kalyx Technologies,No,Fashion / Beauty,Female,,,,,,,,,,,,0.0,,
30,31.0,1.0,6.0,The Fizz,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
31,32.0,1.0,7.0,Soy-Yer-Dough,Yes,Food and Beverage,Male,300000,51%,588235,,,,1.0,1.0,1.0,,,3.0,100000,
32,33.0,1.0,7.0,Grill Charms Set,Yes,Fashion / Beauty,Female,50000,20%,250000,,,,1.0,,,,,1.0,50000,
33,34.0,1.0,7.0,Boogie Box Fitness,No,Fitness / Sports,Female,,,,,,,,,,,,0.0,,
34,35.0,1.0,7.0,The Fun house Project,No,Media / Entertainment,Male,,,,,,,,,,,,0.0,,
35,36.0,1.0,8.0,Treasure Chest Pets,Yes,Pet Products,Female,100000,60%,166667,1.0,,,,1.0,,,,2.0,50000,
36,37.0,1.0,8.0,Notehall,Yes,Software / Tech,Male,90000,25%,360000,1.0,,,,,,,,1.0,90000,deal did not go through after show; acquired by Chegg for 3.7M in equity
37,38.0,1.0,8.0,Throx,No,Fashion / Beauty,Male,,,,,,,,,,,,0.0,,
38,39.0,1.0,8.0,Washed Up Hollywood,No,Fashion / Beauty,Male,,,,,,,,,,,,0.0,,
39,40.0,1.0,9.0,Gayla Bentley Fashion,Yes,Fashion / Beauty,Female,250000,50%,500000,1.0,,,,1.0,,,,2.0,125000,
40,41.0,1.0,9.0,Chill Soda,Yes,Food and Beverage,Male,50000,20%,250000,1.0,,,,,,,,1.0,50000,
41,42.0,1.0,9.0,Cornucopia Express,No,Pet Products,Male,,,,,,,,,,,,0.0,,
42,43.0,1.0,9.0,Virtusphere,No,Software / Tech,Male,,,,,,,,,,,,0.0,,
43,44.0,1.0,10.0,The URO Club,Yes,Uncertain / Other,Male,25000,70%,35714,,,,,,,,1.0,1.0,25000,
44,45.0,1.0,10.0,Jump Forward,Yes,Uncertain / Other,Male,600000,50%,1200000,,,,1.0,,1.0,,,2.0,300000,
45,46.0,1.0,10.0,The Bobble Place,No,Children / Education,Male,,,,,,,,,,,,0.0,,
46,47.0,1.0,10.0,Mr. Poncho,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,,0.0,,
47,48.0,1.0,11.0,Hells Bells Helmets,Yes,Consumer Products,Mixed Team,500000,50%,1000000,,,,,1.0,,,,1.0,500000,
48,49.0,1.0,11.0,Chef In Black,Yes,Food and Beverage,Female,50000,40%,125000,1.0,,,,,,,,1.0,50000,
49,50.0,1.0,11.0,Ink Flip,No,Business Services,Male,,,,,,,,,,,,0.0,,
50,51.0,1.0,11.0,Romp NΓÇÖ Roll,No,Children / Education,Mixed Team,,,,,,,,,,,,0.0,,
51,52.0,1.0,11.0,The Twister,No,Fitness / Sports,Male,,,,,,,,,,,,0.0,,
52,53.0,1.0,12.0,Grease Monkey Wipes,Yes,Lifestyle / Home,Mixed Team,40000,40%,100000,1.0,,,1.0,,,,,2.0,20000,
53,54.0,1.0,12.0,Wee Can Shop,No,Children / Education,Mixed Team,,,,,,,,,,,,0.0,,
54,55.0,1.0,12.0,The Podillow,No,Consumer Products,Mixed Team,,,,,,,,,,,,0.0,,
55,56.0,1.0,12.0,The Factionist,No,Fashion / Beauty,Male,,,,,,,,,,,,0.0,,
56,57.0,1.0,13.0,Caffeindicator,Yes,Food and Beverage,Male,200000,50%,400000,,,,,,,1.0,,1.0,200000,
57,58.0,1.0,13.0,Lipstick Remix,Yes,Fashion / Beauty,Female,105000,50%,210000,1.0,,,,1.0,,1.0,,3.0,35000,
58,59.0,1.0,13.0,Legal Grind,No,Business Services,Mixed Team,,,,,,,,,,,,0.0,,
59,60.0,1.0,13.0,Captain Ice Cream,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
60,61.0,1.0,14.0,Nubrella,Yes,Fashion / Beauty,Male,200000,51%,392157,,,,,1.0,,1.0,,2.0,100000,Deal fell through after show
61,62.0,1.0,14.0,Qubits,Yes,Children / Education,Male,90000,51%,176471,,,,,1.0,,,,1.0,90000,Deal fell through after show
62,63.0,1.0,14.0,Send A Ball,No,Children / Education,Female,,,,,,,,,,,,0.0,,
63,64.0,1.0,14.0,Pillars of Slippers,No,Fashion / Beauty,Female,,,,,,,,,,,,0.0,,
64,65.0,1.0,14.0,Llama Brew,No,Green/CleanTech,Mixed Team,,,,,,,,,,,,0.0,,
65,66.0,2.0,1.0,Wurkin Stiffs,Yes,Consumer Products,Male,100000,40%,250000,1.0,,,,1.0,,,,2.0,50000,
66,67.0,2.0,1.0,Tippi Toes,Yes,Fitness / Sports,Female,100000,30%,333333,1.0,1.0,,,,,,,2.0,50000,
67,68.0,2.0,1.0,CBS Foods,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
68,69.0,2.0,1.0,Copa di Vino,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
69,70.0,2.0,2.0,Toygaroo,Yes,Children / Education,Female,200000,35%,571429,,1.0,,,,1.0,,,2.0,100000,Company filed for Chapter 7 bankruptcy in April 2012
70,71.0,2.0,2.0,First Defense Nasal Screen,Yes,Healthcare,Male,750000,30%,2500000,,1.0,,1.0,1.0,,,,3.0,250000,10% perpetual royalty
71,72.0,2.0,2.0,Vurtego,No,Fitness / Sports,Male,,,,,,,,,,,,0.0,,
72,73.0,2.0,2.0,Wake n' Bacon,No,Food and Beverage,Male,,,,,,,,,,,,0.0,,
73,74.0,2.0,3.0,Mod Mom Furniture,Yes,Lifestyle / Home,Female,90000,33%,272727,,,,,,,,,0.0,0,7.5% royalty fee after they hit $500K
74,75.0,2.0,3.0,Flipoutz,Yes,Fashion / Beauty,Mixed Team,100000,25%,400000,,,,,1.0,,,,1.0,100000,
75,76.0,2.0,3.0,Fitness Stride,No,Fitness / Sports,Male,,,,,,,,,,,,0.0,,
76,77.0,2.0,3.0,Pure Ayre,No,Lifestyle / Home,Male,,,,,,,,,,,,0.0,,
77,78.0,2.0,4.0,Broccoli Wad,Yes,Food and Beverage,Male,50000,40%,125000,1.0,,,,,,,,1.0,50000,
